Simulation component,Parameter name,Description,Value in base case,Value in dedicated observer program
fishing,nboat,Size of the active fishing fleet,28,
fishing,mean.fishing.event.boat.day,Mean number of fishing events per boat day,1,
fishing,stochastic,"Logical; should a vessel-specific mean number of events per vessel be used, or a single value for the entire fleet?",FALSE,
fishing,p.metier,Probability (proportion) of vessels belonging each metier,1,
bycatch process,p.bycatch,Probability of bycatch event by haul and metier,0.12,
bycatch process,p.large.event,"Given that a bycatch event occurs, the probability of a large bycatch event",0.007,
bycatch process,mean.bycatch.event,"Given that a bycatch event occurs and that event is not large, the mean number of individuals caught at a 'normal' bycatch event",2,
bycatch process,mean.bycatch.large.event,"Given that a bycatch event occurs and that event is large, the mean number of individuals",17.6,
simulation parameter,nsample,Number of samples to be taken from the fishing data,1000,
observation,p_monitor_boat,Proportion of vessels monitored,0.096774194,1
observation,pmonitor,Proportion of hauls monitored for each vessel,1,0.5 (Observer works same as crew shifts: on/off over 24 hours)
observation,p_monitor_metier,Proportion of monitoring allocated to (each?) metier,1,2:31/31
observation,bymetier,Logical; whether sampling is stratified by metier?,FALSE,FALSE
observation,boat_samp,"If FALSE: sampling occurs at the fishing event level (haul); if TRUE: first sample vessels to be monitored, then sample hauls",TRUE,TRUE
observation,refusal_rate,Probability that a sampled vessel is rejected due to refusal to allow observer onboard,0,"seq(0.1, 0.9, length.out = 4) (This value is sensitive to too many factors so is varied in the simulations)"
properties of an average monitoring event,p_haul_obs,Probability that a haul is observed ,1,0.95 (dedicated programme with trained observers has lower chance of missing observations)
properties of an average monitoring event,detect_prob,Probability of detection of each individual in a bycatch event,0.7,1
properties of an average monitoring event,misclassification,Probability of mis-identification of the bycaught species,0,0
